,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khani,GE,41.9563,42.9566,63.97,98,100,2.46,light rain
1,Atar,MR,20.5169,-13.0499,99.73,24,0,13.65,clear sky
2,Yerbogachen,RU,61.2767,108.0108,51.28,94,36,4.38,scattered clouds
3,Kamaishi,JP,39.2667,141.8833,69.4,96,100,10.92,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,33.91,93,100,9.22,light snow
5,Cabo San Lucas,MX,22.8909,-109.9124,93.61,33,40,9.22,scattered clouds
6,Meulaboh,ID,4.1363,96.1285,76.44,90,100,4.05,overcast clouds
7,Atuona,PF,-9.8,-139.0333,76.86,82,48,15.3,light rain
8,Yulara,AU,-25.2406,130.9889,43.16,72,0,8.93,clear sky
9,Thompson,CA,55.7435,-97.8558,82.56,30,75,6.91,broken clouds
10,Pathein,MM,16.7833,94.7333,78.33,91,100,4.7,overcast clouds
11,Busselton,AU,-33.65,115.3333,64.27,82,100,19.95,light rain
12,Nikolskoye,RU,59.7035,30.7861,62.49,86,68,2.26,broken clouds
13,Zemetchino,RU,53.4973,42.6163,64.56,94,100,6.67,overcast clouds
14,Hithadhoo,MV,-0.6,73.0833,82.13,75,99,5.46,overcast clouds
15,Dunedin,NZ,-45.8742,170.5036,45.81,98,100,10.0,overcast clouds
16,Natal,BR,-5.795,-35.2094,80.82,83,75,13.8,broken clouds
17,Mahebourg,MU,-20.4081,57.7,68.29,83,75,12.66,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,70.2,68,20,13.8,few clouds
19,Iskateley,RU,67.6803,53.1512,57.76,75,64,12.06,broken clouds
20,Maniitsoq,GL,65.4167,-52.9,42.73,89,29,16.15,scattered clouds
21,Tebingtinggi,ID,3.3285,99.1625,74.84,90,100,2.89,overcast clouds
22,Georgetown,MY,5.4112,100.3354,82.33,91,20,0.0,few clouds
23,Dikson,RU,73.5069,80.5464,34.23,97,100,5.61,overcast clouds
24,Yellowknife,CA,62.456,-114.3525,77.56,38,20,19.57,smoke
25,Tuktoyaktuk,CA,69.4541,-133.0374,77.0,61,40,6.91,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,37.06,93,75,3.44,light snow
27,Iquitos,PE,-3.7481,-73.2472,84.24,70,75,6.91,broken clouds
28,Vaini,TO,-21.2,-175.2,71.76,83,20,8.05,few clouds
29,Hamilton,US,39.1834,-84.5333,78.75,91,75,5.75,broken clouds
30,Upernavik,GL,72.7868,-56.1549,38.7,96,79,14.5,broken clouds
31,Nanortalik,GL,60.1432,-45.2371,45.7,84,100,8.66,light rain
32,Kodiak,US,57.79,-152.4072,54.91,88,100,16.11,light rain
33,Ahipara,NZ,-35.1667,173.1667,59.22,91,18,11.95,few clouds
34,Bethel,US,41.3712,-73.414,87.35,58,75,3.44,broken clouds
35,Gizo,SB,-8.103,156.8419,80.87,75,20,7.05,few clouds
36,Hermanus,ZA,-34.4187,19.2345,54.81,70,0,7.9,clear sky
37,Misratah,LY,32.3754,15.0925,80.42,73,0,13.98,clear sky
38,Ilulissat,GL,69.2167,-51.1,55.42,47,0,13.8,clear sky
39,Moundou,TD,8.5667,16.0833,74.59,83,63,3.87,broken clouds
40,Sinop,TR,41.7711,34.8709,64.8,60,6,3.36,clear sky
41,Cairns,AU,-16.9167,145.7667,61.07,94,0,8.05,clear sky
42,Cayenne,GF,4.9333,-52.3333,84.24,1,70,10.36,broken clouds
43,Albany,US,42.6001,-73.9662,85.03,52,100,1.99,overcast clouds
44,Ancud,CL,-41.8697,-73.8203,46.22,81,100,18.34,light rain
45,Guerrero Negro,MX,27.9769,-114.0611,79.38,52,22,15.28,few clouds
46,Pinheiro Machado,BR,-31.5783,-53.3811,50.05,73,99,12.3,overcast clouds
47,Iqaluit,CA,63.7506,-68.5145,42.53,81,20,10.36,few clouds
48,Tiksi,RU,71.6872,128.8694,41.05,65,100,6.98,overcast clouds
